Match_Type,God_Name,Kills,Deaths,Assists,Item1,Item2,Item3,Item4,Item5,Item6
Conquest,Ymir,13,11,18,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Vulcan,3,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,4,10,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,5,11,6,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Tyr,2,13,8,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Tyr,4,10,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,1,10,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,3,3,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,10,0,18,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Serqet,3,6,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,3,5,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Erlang Shen,6,8,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Erlang Shen,1,4,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nu Wa,0,5,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,5,5,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,4,7,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,0,8,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,0,3,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Medusa,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ix Chel,11,5,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ah Muzen Cab,10,2,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ah Muzen Cab,3,2,5,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,4,2,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,1,14,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hel,0,8,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Jing Wei,2,10,3,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Medusa,14,11,7,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Athena,3,9,10,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Athena,1,7,1,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Tyr,7,11,11,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Medusa,5,16,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charybdis,3,6,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charybdis,7,10,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charybdis,1,9,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charybdis,0,8,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charybdis,2,12,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Charybdis,2,10,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,3,4,8,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Medusa,11,12,6,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Cabrakan,5,8,11,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Hades,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Susano,11,9,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,4,11,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Medusa,5,11,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ares,3,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chiron,1,10,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,8,8,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,7,5,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,10,5,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Medusa,9,9,4,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,4,6,15,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ix Chel,3,4,19,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,4,5,21,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,2,10,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,8,3,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Tyr,2,8,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Bake Kujira,2,1,6,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Arachne,13,15,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,4,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Izanami,1,10,5,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Bake Kujira,4,6,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Bake Kujira,2,6,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Bake Kujira,3,8,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Serqet,13,9,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,1,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Serqet,4,7,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,8,0,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chernobog,6,4,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,4,9,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,4,2,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,4,10,16,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ix Chel,3,10,27,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Chernobog,10,6,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chernobog,3,6,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chernobog,1,2,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chernobog,1,0,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Martichoras,3,9,5,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,5,7,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,10,4,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,7,3,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,3,8,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,3,8,5,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Arachne,15,8,15,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Hades,6,8,14,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Izanami,5,14,17,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Martichoras,7,8,8,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Horus,3,9,14,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Ix Chel,3,16,11,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Ix Chel,4,3,13,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Tyr,2,9,12,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Martichoras,4,7,18,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,11,11,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Cerberus,3,15,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Da Ji,2,6,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Surtr,6,9,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,9,0,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,1,8,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Surtr,7,8,12,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Izanami,6,8,18,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Izanami,16,8,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Izanami,12,3,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Izanami,8,5,15,N/A,N/A,N/A,N/A,N/A,N/A
Arena,King Arthur,1,6,4,N/A,N/A,N/A,N/A,N/A,N/A
Arena,King Arthur,0,7,14,N/A,N/A,N/A,N/A,N/A,N/A
Arena,King Arthur,2,1,16,N/A,N/A,N/A,N/A,N/A,N/A
Arena,King Arthur,0,6,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,King Arthur,0,4,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Cerberus,12,5,24,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Cerberus,1,6,19,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Sol,3,8,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sol,2,6,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sol,0,7,4,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Sol,2,4,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Cerberus,3,10,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Cerberus,7,8,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Cerberus,3,3,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tiamat,2,9,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tiamat,6,13,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tiamat,0,3,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tiamat,2,15,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tiamat,3,11,13,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tiamat,5,10,20,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Yemoja,3,6,20,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Yemoja,0,9,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Yemoja,3,0,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Persephone,4,9,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Persephone,1,11,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Surtr,9,5,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Surtr,11,12,18,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Surtr,10,10,17,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Surtr,9,11,22,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cliodhna,4,10,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ganesha,2,8,18,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ganesha,0,3,21,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Khepri,3,2,34,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Khepri,0,3,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charon,1,3,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charon,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,2,8,8,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Charon,1,4,30,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Atlas,2,10,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Guan Yu,2,5,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Jing Wei,5,9,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,8,7,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,5,4,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,2,11,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,1,10,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,3,2,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,1,7,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,5,6,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,4,7,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,1,4,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,3,9,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chiron,2,4,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,1,1,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,8,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Janus,3,8,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chiron,5,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Chiron,9,12,16,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,9,11,18,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,6,6,14,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,6,1,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,2,10,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,5,6,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,7,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,7,9,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sun Wukong,1,5,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,4,4,5,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Hades,6,1,12,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Zeus,2,13,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,5,3,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,7,9,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,4,0,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Medusa,2,9,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,2,10,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,2,5,0,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,9,1,18,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,8,7,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,8,10,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,1,8,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,1,4,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,8,11,5,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Achilles,7,6,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cernunnos,0,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cernunnos,0,5,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,5,7,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,3,0,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ix Chel,2,7,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,7,5,16,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Erlang Shen,1,11,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chiron,2,5,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chiron,4,9,1,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Erlang Shen,9,7,22,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,8,11,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chiron,5,3,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,5,10,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,7,3,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Geb,0,5,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Chiron,1,9,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Erlang Shen,1,6,16,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,4,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Arachne,2,11,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Arachne,4,8,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,4,8,3,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Ganesha,1,7,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,3,4,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Vulcan,0,5,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sylvanus,3,2,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sylvanus,1,10,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,4,7,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,0,9,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,11,6,16,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,6,2,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,3,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,8,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,10,7,13,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Nut,9,6,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,4,3,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,4,7,4,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,1,4,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,0,3,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,2,3,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,7,5,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,2,7,4,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Cabrakan,3,7,19,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,0,8,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Cabrakan,3,12,18,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,0,6,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,0,6,1,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Awilix,6,7,20,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Cernunnos,3,13,6,N/A,N/A,N/A,N/A,N/A,N/A
Assault,Terra,2,3,23,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charon,0,3,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,3,9,5,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,6,4,13,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,3,8,12,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,4,10,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,7,4,18,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,4,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,2,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,3,4,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,3,1,11,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,3,5,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Guan Yu,0,3,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Guan Yu,0,7,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,0,3,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,4,6,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,1,4,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,3,4,0,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,7,2,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hel,1,2,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Freya,1,6,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charon,6,5,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Achilles,6,1,12,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Charon,3,5,18,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Charon,2,8,25,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Charon,4,6,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Hades,2,14,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,4,4,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,3,1,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,0,5,19,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,5,1,11,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,7,7,23,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,6,14,12,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,4,9,13,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Susano,9,9,23,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Horus,5,4,15,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,6,6,13,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,3,6,16,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Hades,15,5,13,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Vulcan,0,10,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Vulcan,1,7,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sylvanus,3,8,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,0,1,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,3,8,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Jing Wei,2,6,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Jing Wei,4,3,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,5,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,2,6,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ra,5,7,13,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,5,3,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sun Wukong,2,1,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,0,5,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Freya,2,5,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Erlang Shen,3,5,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ymir,1,2,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Zeus,2,10,2,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nu Wa,5,8,5,N/A,N/A,N/A,N/A,N/A,N/A
