Match_Type,God_Name,Kills,Deaths,Assists,Item1,Item2,Item3,Item4,Item5,Item6,Class,Health,Mana,Speed,Physical_Protection,Magical_Protection
Arena,Chernobog,10,6,10,,,,,,,Hunter,0.3214285714285714,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Chernobog,3,6,5,,,,,,,Hunter,0.3214285714285714,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Chernobog,1,2,5,,,,,,,Hunter,0.3214285714285714,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Chernobog,1,0,5,,,,,,,Hunter,0.3214285714285714,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Martichoras,3,9,5,,,,,,,Hunter,0.576530612244898,0.5285714285714286,0.30000000000000004,0.6428571428571428,0.5
Arena,Tyr,5,7,12,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Tyr,10,4,7,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Janus,7,3,11,,,,,,,Mage,0.0,0.8428571428571429,0.10000000000000003,0.2142857142857143,0.5
Joust,Janus,3,8,9,,,,,,,Mage,0.0,0.8428571428571429,0.10000000000000003,0.2142857142857143,0.5
Joust,Janus,3,8,5,,,,,,,Mage,0.0,0.8428571428571429,0.10000000000000003,0.2142857142857143,0.5
Conquest,Arachne,15,8,15,,,,,,,Assassin,0.2857142857142857,0.44285714285714284,0.7000000000000001,0.40476190476190477,0.5
Conquest,Hades,6,8,14,,,,,,,Mage,0.5,0.6,0.30000000000000004,0.7380952380952381,0.5
Conquest,Izanami,5,14,17,,,,,,,Hunter,0.3214285714285714,0.44285714285714284,0.30000000000000004,0.2619047619047619,0.5
Conquest,Martichoras,7,8,8,,,,,,,Hunter,0.576530612244898,0.5285714285714286,0.30000000000000004,0.6428571428571428,0.5
Slash,Horus,3,9,14,,,,,,,Warrior,0.5918367346938775,0.5,0.5,0.6904761904761905,0.75
Slash,Ix_Chel,3,16,11,,,,,,,Mage,0.0,0.7,0.10000000000000003,0.35714285714285715,0.5
